Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956518,£715.94,Scottish & Southern Energy Plc
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956551,£507.11,Scottish & Southern Energy Plc
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956608,£506.69,Scottish & Southern Energy Plc
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956545,£506.52,Scottish & Southern Energy Plc
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956553,£506.52,Scottish & Southern Energy Plc
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956559,£506.52,Scottish & Southern Energy Plc
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956588,£506.52,Scottish & Southern Energy Plc
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956600,£506.52,Scottish & Southern Energy Plc
Manchester City Council,Housing Revenue Account,General Office expenses,01.03.2018,5100964675,£550.00,Cull Paperless Solutions Ltd
Manchester City Council,Chief Executives,Training and Development,01.03.2018,5100964700,"£6,025.00",North West Employers Ltd
Manchester City Council,Chief Executives,Training and Development,01.03.2018,5100964678,"£5,080.00",North West Employers Ltd
Manchester City Council,Chief Executives,Training and Development,01.03.2018,5100964681,"£5,080.00",North West Employers Ltd
Manchester City Council,Chief Executives,Training and Development,01.03.2018,5100964684,"£5,080.00",North West Employers Ltd
Manchester City Council,Chief Executives,Training and Development,01.03.2018,5100964695,"£4,420.00",North West Employers Ltd
Manchester City Council,Chief Executives,Vehicle Hire Costs,01.03.2018,5100964709,£750.75,Manchester Van Hire Ltd
Manchester City Council,Chief Executives,Professional fees,01.03.2018,5100964635,"£12,660.00",Fabulous Fan Fayre Limited
Manchester City Council,Chief Executives,Compensation Payments,01.03.2018,1905955763,£924.88,Susan McColl & Associates
Manchester City Council,Chief Executives,Compensation Payments,01.03.2018,1905929229,£991.67,Susan McColl & Associates
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956305,"£20,078.52",Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956306,"£17,065.71",Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956444,"£13,992.45",Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956313,"£5,418.18",Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956314,"£4,866.06",Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956309,"£4,598.04",Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956504,"£4,171.87",Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956408,"£2,505.59",Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956316,"£2,164.32",Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956326,"£2,158.20",Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956339,"£1,859.47",Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956340,"£1,784.78",Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956348,"£1,569.08",Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956365,"£1,500.24",Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956352,"£1,320.33",Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956301,"£1,122.65",Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956351,"£1,045.74",Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956347,"£1,025.29",Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956357,£977.83,Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956350,£972.37,Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956308,£943.47,Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956341,£925.48,Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956505,£917.08,Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956338,£910.92,Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956329,£892.68,Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956412,£791.74,Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956368,£707.81,Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956332,£695.05,Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956307,£670.69,Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956429,£645.76,Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956369,£620.17,Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956355,£612.98,Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956361,£598.86,Corona Energy Ltd
Manchester City Council,Regeneration Finance,Gas,01.03.2018,1905956440,£527.05,Corona Energy Ltd
Manchester City Council,Regeneration Finance,Rents,01.03.2018,1905956204,"£80,360.39",Regus Management (UK) Ltd
Manchester City Council,Regeneration Finance,Cleaning Equipment and Materials,01.03.2018,5100964712,"£1,235.42",Alliance Disposables Ltd
Manchester City Council,Highways Services,Rents,01.03.2018,1905948797,"£69,386.16",Savills (UK) Ltd
Manchester City Council,Highways Services,Car Parking Permits,01.03.2018,1905955803,£632.77,Colliers International (Client A/C)
Manchester City Council,Highways Services,Furniture,01.03.2018,5100964751,£748.80,Egan Reid Stationery Co Ltd
Manchester City Council,Highways Services,Compensation Payments,01.03.2018,1905955504,£637.00,Department For Work & Pensions
Manchester City Council,Manchester Leisure,Agency staff provision,02.03.2018,5100964846,"£1,381.42",Manchester Art Gallery Trust
Manchester City Council,Manchester Leisure,Security,02.03.2018,5100956049,"£8,099.99",Showsec International Ltd
Manchester City Council,Manchester Leisure,Professional fees,02.03.2018,5100964875,"£3,566.24",Greater Manchester Community
Manchester City Council,Manchester Leisure,Professional fees,02.03.2018,5100937571,"£1,384.92",Footfall
Manchester City Council,Manchester Leisure,Professional fees,02.03.2018,5100946461,"£1,384.92",Footfall
Manchester City Council,Manchester Leisure,Professional fees,02.03.2018,5100961476,"£1,384.92",Footfall
Manchester City Council,Manchester Leisure,Professional fees,02.03.2018,5100964939,£750.00,Redacted Personal Information
Manchester City Council,Manchester Leisure,Professional fees,02.03.2018,5100964872,£669.50,Redacted Personal Information
Manchester City Council,Manchester Leisure,Third party payments relating to Voluntary Organisations,02.03.2018,5100964884,"£2,944.00",Reform Radio CIC
Manchester City Council,Hospitality + Trading Services,Contract Cleaning External,02.03.2018,5100964925,"£26,673.59",Biffa Municipal Limited
Manchester City Council,Hospitality + Trading Services,Cleaning Equipment and Materials,02.03.2018,1905957686,£614.46,Alliance Disposables Ltd
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,02.03.2018,5100964882,£726.75,Pennine Pump & Tank Co.
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957671,"£1,000.81",Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957807,£932.24,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957701,£901.99,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957674,£829.33,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957733,£810.23,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957700,£780.78,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957819,£777.56,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957694,£762.01,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957741,£755.55,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957696,£742.30,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957662,£741.18,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957687,£732.41,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957710,£725.03,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957698,£715.99,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957782,£698.82,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957718,£663.69,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957691,£606.88,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957731,£577.98,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957655,£552.08,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957758,£550.49,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957693,£545.10,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957726,£522.78,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957740,£520.01,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957657,£511.91,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957676,£501.95,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2018,1905957672,£501.45,Brake Bros Foodservice Ltd
Manchester City Council,Adult Social Care,Training and Development,02.03.2018,5100964683,"£2,400.00",Disabled Living
Manchester City Council,Adult Social Care,Training and Development,02.03.2018,5100964824,"£1,200.00",Disabled Living
Manchester City Council,Adult Social Care,Rents,02.03.2018,5100964946,"£15,257.62",Housing Social Ltd
Manchester City Council,Adult Social Care,Rents,02.03.2018,5100964847,"£9,320.29",MJ Rental Ltd
Manchester City Council,Adult Social Care,Contract Cleaning External,02.03.2018,5100964881,£583.12,Tailored Contract Cleaning Ltd
Manchester City Council,Adult Social Care,Contract Cleaning External,02.03.2018,5100964911,£518.34,Tailored Contract Cleaning Ltd
Manchester City Council,Adult Social Care,Professional fees,02.03.2018,5100964931,£800.00,Afruca
Manchester City Council,Adult Social Care,I T Provision,02.03.2018,5100964645,"£1,684.00",T.I.S. Limited
Manchester City Council,Adult Social Care,Other Insurance Premiums,02.03.2018,5100964909,"£1,289.96",Diocese of Salford
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,02.03.2018,5100964930,"£10,353.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,02.03.2018,5100964929,"£6,645.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,02.03.2018,5100964935,"£4,845.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Third party payments to Health Authority,02.03.2018,5100964623,"£488,333.33",Central Mcr Uni Hospital t/a
Manchester City Council,Adult Social Care,Third party payments to Health Authority,02.03.2018,5100964815,"£293,223.17",Central Mcr Uni Hospital t/a
Manchester City Council,Adult Social Care,Third party payments to Health Authority,02.03.2018,5100964817,"£19,408.82",Central Mcr Uni Hospital t/a
Manchester City Council,Adult Social Care,Third party payments to Health Authority,02.03.2018,5100964815,"£15,206.08",Central Mcr Uni Hospital t/a
Manchester City Council,Adult Social Care,Third party payments to Health Authority,02.03.2018,5100964618,"£14,621.33",Central Mcr Uni Hospital t/a
Manchester City Council,Adult Social Care,Third party payments to Health Authority,02.03.2018,5100964815,"£4,576.42",Central Mcr Uni Hospital t/a
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.03.2018,5100964934,"£4,350.00",Burnage Good Neighbours
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.03.2018,5100964927,"£2,332.00",Wythenshawe Community Initiative
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.03.2018,5100964914,£989.00,NEPHRA residents Association
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.03.2018,5100964854,£738.14,Southway Housing Trust
Manchester City Council,Adult Social Care,Payments for services,02.03.2018,5100964954,"£8,854.00",Turning Point
Manchester City Council,Corporate Services,Collection Commission,02.03.2018,5100964835,"£11,729.25",Capacity Grid
Manchester City Council,Corporate Services,Collection Commission,02.03.2018,5100964834,"£9,603.00",Capacity Grid
Manchester City Council,Corporate Services,Collection Commission,02.03.2018,5100964836,"-£1,368.00",Capacity Grid
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,02.03.2018,5100964906,"£3,846.15",Manchester Working Ltd
Manchester City Council,Corporate Services,Legal Fees,02.03.2018,5100964894,"£17,081.11",AW Law
Manchester City Council,Chief Executives,Training and Development,02.03.2018,5100964903,"£1,580.40",Coachingworks4me Ltd
Manchester City Council,Chief Executives,Rents,02.03.2018,5100964627,£993.65,Regus Management (UK) Ltd
Manchester City Council,Chief Executives,Vehicle Hire Costs,02.03.2018,5100964941,£749.00,CD Chauffeur Hire
Manchester City Council,Chief Executives,Payments to Sub-Contractors,02.03.2018,5100964977,£723.08,Redacted Personal Information
Manchester City Council,Chief Executives,Payments to Sub-Contractors,02.03.2018,5100964972,£617.87,Redacted Personal Information
Manchester City Council,Chief Executives,Members Allowances,02.03.2018,1905956902,"£1,366.00",Redacted Personal Information
Manchester City Council,Regeneration Finance,Consultants Fees,02.03.2018,5100964913,"£1,500.00",Ekos Consulting (Uk) Ltd
Manchester City Council,Regeneration Finance,Professional fees,02.03.2018,5100964901,"£4,083.50",Addleshaw Goddard Solicitors
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,05.03.2018,5100965098,£650.00,Willfab Ltd
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,05.03.2018,5100965097,-£650.00,Willfab Ltd
Manchester City Council,Manchester Leisure,Electricity,05.03.2018,5100965023,"£4,243.16",The Manchester College
Manchester City Council,Manchester Leisure,Rents,05.03.2018,5100965023,"£36,590.75",The Manchester College
Manchester City Council,Manchester Leisure,Water Service Charges - Unmetered,05.03.2018,5100965023,"£1,006.54",The Manchester College
Manchester City Council,Manchester Leisure,Hire of Premises,05.03.2018,5100965023,"£12,202.84",The Manchester College
Manchester City Council,Manchester Leisure,Travel,05.03.2018,5100964887,"£51,281.25",Corporate & Sporting Events
Manchester City Council,Manchester Leisure,Travel,05.03.2018,5100964888,"£9,554.17",Corporate & Sporting Events
Manchester City Council,Manchester Leisure,Public Transport,05.03.2018,5100964808,"£9,520.00",Transport for Greater Manchester
Manchester City Council,Manchester Leisure,Car Parking Permits,05.03.2018,5100965086,"£4,453.03",National Car Parks Ltd Season Ticke
Manchester City Council,Manchester Leisure,Car Parking Permits,05.03.2018,5100952995,"£1,043.33",National Car Parks Ltd Season Ticke
Manchester City Council,Manchester Leisure,Car Parking Permits,05.03.2018,5100965096,"-£4,453.03",National Car Parks Ltd Season Ticke
Manchester City Council,Manchester Leisure,Professional fees,05.03.2018,5100965135,"£5,232.00",Company Chameleon Limited
Manchester City Council,Manchester Leisure,Professional fees,05.03.2018,5100964616,"£2,070.00",Manchester Digital Laboratory
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,05.03.2018,1905958635,£566.20,Slater Bradley Studio
Manchester City Council,Manchester Leisure,Special Events,05.03.2018,5100964613,"£1,207.00",Event Technical Support
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,05.03.2018,5100965079,"£62,682.32",Winners Contract Hire Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,05.03.2018,5100965100,"£3,514.56",Winners Contract Hire Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,05.03.2018,5100965131,"£1,038.50",R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,05.03.2018,5100965136,"£1,038.50",R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,05.03.2018,5100965133,"£1,012.50",R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,05.03.2018,5100965137,"£1,012.50",R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Legal Fees,05.03.2018,5100964928,£500.00,Redacted Personal Information
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,05.03.2018,5100965070,"£7,694.00",Sheridan Lifts Ltd
Manchester City Council,Adult Social Care,Rents,05.03.2018,5100964991,"£79,187.57",Accommodation Links Ltd
Manchester City Council,Adult Social Care,Rents,05.03.2018,5100964990,"£7,768.46",District Homes Cic
Manchester City Council,Adult Social Care,Rents,05.03.2018,1905948322,"£1,212.13",Barnardos Manchester Leaving Care S
Manchester City Council,Adult Social Care,Fixtures and Fittings,05.03.2018,1905948322,"£2,700.00",Barnardos Manchester Leaving Care S
Manchester City Council,Adult Social Care,Fixtures and Fittings,05.03.2018,1905949804,£585.00,Barnardos Manchester Leaving Care S
Manchester City Council,Adult Social Care,Travel,05.03.2018,1905958636,£559.02,Redacted Personal Information
Manchester City Council,Adult Social Care,Equipment,05.03.2018,1905951940,"£4,740.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Equipment,05.03.2018,5100965027,"£1,990.00",Aidapt Bathrooms Ltd
Manchester City Council,Adult Social Care,Training and Development,05.03.2018,1905948322,"£27,880.20",Barnardos Manchester Leaving Care S
Manchester City Council,Adult Social Care,Training and Development,05.03.2018,1905949804,"£9,500.40",Barnardos Manchester Leaving Care S
Manchester City Council,Adult Social Care,Catering,05.03.2018,1905950891,£512.00,Redacted Personal Information
Manchester City Council,Adult Social Care,Publications,05.03.2018,5100965045,"£1,100.00",Read - The Reading Agency
Manchester City Council,Adult Social Care,Professional fees,05.03.2018,5100964612,"£3,494.00",AECOM Limited
Manchester City Council,Adult Social Care,Professional fees,05.03.2018,5100964611,"£2,261.00",AECOM Limited
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,05.03.2018,5100964945,"£15,256.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,05.03.2018,5100964942,"£126,855.73",Bolton Mbc
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,05.03.2018,5100964879,"£11,018.00",Skills & Work Solutions
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,05.03.2018,5100965129,"£7,213.25",Manchester Carers Forum
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,05.03.2018,5100965129,"£3,179.64",Manchester Carers Forum
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,05.03.2018,5100965089,"£1,468.75",Youth on Solid Ground
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,05.03.2018,5100965093,"£1,468.75",Youth on Solid Ground
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,05.03.2018,5100965125,"-£3,179.64",Manchester Carers Forum
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,05.03.2018,5100965125,"-£7,285.25",Manchester Carers Forum
Manchester City Council,Adult Social Care,Payments for services,05.03.2018,5100965072,"£13,833.33",Cambian Childcare Ltd
Manchester City Council,Adult Social Care,Payments for services,05.03.2018,5100965078,"£13,833.33",Cambian Childcare Ltd
Manchester City Council,Adult Social Care,Payments for services,05.03.2018,5100965075,"£13,000.00",Cambian Childcare Ltd
Manchester City Council,Adult Social Care,Payments for services,05.03.2018,5100965071,"£10,445.58",Cambian Childcare Ltd
Manchester City Council,Adult Social Care,Payments for services,05.03.2018,5100965076,"£7,904.76",Cambian Childcare Ltd
